KWIS 	Know What I'm Saying?
RTW 	Ready To Wear Round The World
RV 	Recreational Vehicle
RVB 	Red Versus Blue (popular web-series)
RVR 	Realm Versus Realm
RW 	Read-Write
RWD 	Rear Wheel Drive
RWL 	Roaring With Laughter
JPA 	Just Playing Around
JPEG 	Joint Photographic Experts Group Image file format
JROTC 	Junior Reserve Officer Training Corps
JRPG 	Japanese Role Playing Game
JS 	Just Saying
JSMN 	Just Shoot Me Now
JSP 	Java Server Pages
JSU 	Just Shut Up
JSYK 	Just So You Know
JTB 	Just Too Bad
JTC 	Join The Club
JTLYK 	Just To Let You Know
JTOL 	Just Thinking Out Loud
JTOY 	Just Thinking Of You
JTTY 	Just To Tell You
JTUSK 	Just Thought You Should Know
RWNJ 	Right Wing Nut Job
RWP 	Random Wall Post
RWYS 	Reap What You Sow
RYC 	Regarding Your Comment
RYN 	Read Your Note Regarding Your Note
RYO 	Roll Your Own
SA 	Sibling Alert
SAB 	Smoking A Blunt
SBI 	Surrounded By Incompetence
SBJ 	Sweet Baby Jesus
SBS 	Step By Step
SBSP 	SpongeBob SquarePants
SBT 	Sorry 'Bout That
SCNR 	Sorry, Could Not Resist
SCOTUS 	Supreme Court Of The United States
SCSI 	Small Computer System Interface
SCUBA 	Self-Contained Underwater Breathing Apparatus
SD 	Sweet Dreams
SDA 	Seventh-Day Adventist
SDK 	Software Development Kit
SDMF 	Strength, Determination, Merciless, Forever
SDRAM 	Synchronous Dynamic Random Access Memory
SEO 	Search Engine Optimization
SEP 	Somebody Else's Problem
SERP 	Search Engine Results Page
SF 	Science Fiction
SFAM 	Sister From Another Mister
SFLR 	Sorry For Late Reply
SFO 	San Francisco International Airport
SFP 	Sorry for Partying
SFR 	Smiling For Real
SFSG 	So Far So Good
SFTBC 	Sorry For The Broadcast
SFW 	Safe For Work
SGTM 	Sounds Good To Me
SH 	Same Here
SHU 	Secure Housing Unit
SIWOTI 	Someone Is Wrong On The Internet
SLOL 	Seriously Laughing Out Loud
SLR 	Single Lens Reflex (camera)
SMAO 	Study My Ass Off
SMDH 	Shaking My Damn Head
SMDHE 	Some Mothers Do Have Em
SME 	Small/Medium Enterprises
SMGDH 	Shaking My God Damn Head
SMH 	Shaking My Head
SMHID 	Shaking My Head In Despair
SMHL 	Shaking My Head Laughing
SMIB 	Southern Maryland Inbred
SMIDSY 	Sorry Mate, I Didn't See You
SML 	Screw My Life Story of My Life
SMN 	Shoot Me Now
SMOG 	Sweet Mother Of God
SMOP 	Simple Matter Of Programming
SMS 	Short Message Service
SMT 	Sucking My Teeth
SMTP 	Simple Mail Transfer Protocol
SNAFU 	Situation Normal, All Fouled Up
SNAG 	Sensitive New Age Guy Sausage
SNC 	Social Network Check
SND 	Search And Destroy
SNES 	Super Nintendo Entertainment System
SNF 	So Not Funny
SNM 	Say No More
SNR 	Signal To Noise Ratio
SNYK 	So Now You Know
SO 	Significant Other Shout Out
SOA 	State Of Alert (band)
SOAD 	System Of A Down (Band)
SOAG 	Son Of A Gun
SOG 	Sea Of Green (cannabis growing)
SOH 	Sense Of Humor
SOHF 	Sense Of Humor Failure
SOI 	Statement of Intent
SOIDH 	Screenshot Or It Didn't Happen
SOML 	Story Of My Life
SOMSW 	Someone Over My Shoulder Watching
SOOC 	Straight Out Of Camera (not Photoshopped)
SOOD 	Cool
SOOTB 	Straight Out Of The Box
SOP 	Standard Operating Procedure
SOPA 	Stop Online Piracy Act
SORN 	Statutory Off Road Notification
SOS 	Save Our Souls (Help!)
SOTA 	State Of The Art
SRH 	Supporting Radical Habits (Clothing)
SRM 	Stark Raving Mad
SRO 	Standing Room Only
SRT 	Street and Racing Technology
SS 	Screen Shot
SSA 	Subject Says All
SSBB 	Super Smash Brothers Brawl (game)
SSBHM 	Super Sized
SSC 	Safe, Sane, Consensual
SSD 	Solid State Drive
SSDD 	Same Stuff Different Day
SSH 	Secure Shell (Unix program)
SSID 	Service Set Identifier
SSL 	Secure Socket Layer See Subject Line
SSTS 	Snickering Softly To Self
SSWA 	So Say We All
STW 	Search The Web
STY 	Same To You
STYL 	Speak To You Later
SU 	Shut Up
SUAD 	Shut Up And Drive
SUL 	See You Later
SULA 	Sweaty Upper Lip Alert
TB 	Text Back
TBA 	To Be Announced
TBBH 	To Be Brutally Honest
TBBT 	The Big Bang Theory (TV Show)
TBC 	To Be Continued
TBCH 	To Be Completely Honest
TBD 	To Be Decided
TBE 	To be Edited
TBF 	To Be Fair
TBFU 	Too Bad For You
TBH 	To Be Honest
TBM 	Tactical Boyfriend Mention
TBMS 	To Be More Specific
TBNT 	Thanks, But No Thanks
TBPH 	To Be Perfectly Honest
TBQF 	To Be Quite Frank
NSM 	Not So Much
NSN 	Not So Nice
NSPCC 	National Society for Prevention of Cruelty to Children
NSW 	New South Wales
NT 	No Thanks
NTB 	Not That Bothered Not Too Bad
NTBCW 	Not To Be Confused With
NTMY 	Nice To Meet You
NTN 	No Thanks Needed
NTR 	Nothing To Report
NTS 	Nothing To Say Note To Self
NTSC 	National Television System Committee video standard
NTSH 	Nothing To See Here
NTT 	Name That Tune Not Touching That!
NTTAWWT 	Not That There's Anything Wrong With That
NTTU 	Not Talking To You
NTW 	Not To Worry
NTWF 	Neopian Times Writers Forum
NTY 	No Thank You
NUS 	National Union of Students
NVMS 	No Visible Means of Support
TBQFH 	To Be Quite F***ing Honest
TBQH 	To Be Quite Honest
TDS 	Technical Dificulties
TDTF 	Too Drunk to Function
TDWP 	The Devil Wears Prada (Band)
TDY 	Temporarily Deployed for a Year
TEOTWAWKI 	The End Of The World As We Know It
TFA 	Thanks For Asking
TFC 	Team Fortress Classic (game)
TFCD 	Time For Compact Disc
IGS 	I Guess So
IGTG 	I Got To Go
IGU 	I Give Up
IGWT 	In God We Trust
IGY 	I Get You
IGYB 	I've Got Your Back
IH8U 	I Hate You
IHAC 	I Have A Customer…
IHDK 	I Honestly Don't Know
IHM 	I Hate Mondays
IHML 	I Hate My Life
IHNC 	I Have No Clue
IHNI 	I Have No Idea
TFI 	Thanks For the Information
TFIOS 	The Fault In Our Stars
TFL 	Tip For Life Transport For London
TFLMK 	Thanks For Letting Me Know
TFLMS 	Thanks For Letting Me Share
TFLN 	Texts From Last Night
TFM 	Total Frat Move
TFMTK 	That's For Me To Know
MOC 	Marriage Of Convenience My Own Creation
MOH 	My Other Half
MOL 	More Or Less
MOO 	Matter of Opinion My Own Opinion
MOPO 	Master Of the Painfully Obvious
NGH 	Not Gonna Happen
NGL 	Not Gonna Lie
NGO 	Non-Governmental Organization
NGU 	Never Give Up
NGUNS 	Never Give Up, Never Surrender
NH 	Nice hand (poker slang)
NHB 	No Holding Back No Holds Barred
NHD 	No Harm Done
NHF 	No Hard Feelings
NHFT 	Not Here For That
NHL 	National Hockey League
NHN 	Not Here Now
NHOI 	Never Heard Of It
TFP 	Thanks For Playing
TFRM 	Thanks For Reminding Me
TFS 	Thanks For Sharing
TFT 	The Frozen Throne (Warcraft III) Thin Film Transistor
TFTA 	Thanks For The Add
TFTC 	Thanks For The (Geo)Cache
TFTD 	Thought For The Day
TFTI 	Thanks For The Info
TFTL 	Thanks for the Link
TG 	Thank God Transgender Too Good
TGAL 	Think Globally, Act Locally
TGFG 	Thank God For Google
TGFI 	Thank God For the Internet
NBC 	National Broadcasting Company
NBD 	No Big Deal
NBF 	New Best Friend
NBIF 	No Basis In Fact
NBK 	Natural Born Killers Never Been Kissed
NBM 	Nil By Mouth Not Before Midnight
NBSB 	No Boyfriend Since Birth
NBT 	Nothing But Trouble
NBTD 	Nothing Better To Do
TGFL 	Thank God For Life
TGFT 	Thank God For That
TGI 	Thank God It's …
TGIA 	Thank God I'm Alive
TGIAF 	Thank God It's Almost Friday
TGIF 	Thank God It's Friday
TLI 	Too Little Information
TLND 	True Love Never Dies
TMBI 	Tell Me 'Bout It
TME 	Too Much Effort
TMF 	Too Much Forehead
TMH 	Touch My Hand
IDUNNO 	I Don't Know
IDW 	I Don't Want
IDWK 	I Don't Wanna Know
IDWT 	I Don't Want To
IDWTAI 	I Don't Wanna Talk About It
IDWTK 	I Don't Want to Know
IE 	Id Est (that is) Internet Explorer
IHO 	In Honor Of
IHOP 	International House of Pancakes
IHP 	I Hate People
IHS 	I Hope So
TMI 	Too Much Information
TMK 	To My Knowledge
TML 	Thank Me Later Text Me Later
TMLT 	To My Last Tweet
TMM 	Tell Me More
TMMS 	That Made Me Smile
TMN 	Touch Me Not
TMNT 	Teenage Mutant Ninja Turtles
TMP 	Tactical Machine Pistol
TMR 	Tomorrow
TMRW 	Tomorrow
TMS 	Too Much Swag(ger)
TMSIDK 	Tell Me Something I Don't Know
TMT 	Too Much Tuna
TMTC 	Too Many To Count
TNF 	That's Not Funny
TNG 	The Next Generation (Star Trek)
TNL 	To Next Level
TNLN 	Took Nothing Left Nothing
TNO 	Trust No One
PSI 	Pounds per Square Inch (pressure) Greek letter
PSM 	Personal Short Message
PSN 	Playstation Network
PSP 	PlayStation Portable
PSR 	Pretty Standard, Really
PST 	Please Send Tell Pacific Standard Time
PSTN 	Public Switched Telephone Network
PSU 	Power Supply Unit
PT 	Phantasy Tour Physical Training
PTB 	Powers That Be Pass The Buck Please Text Back
PTC 	Popping The Collar
PTI 	Pardon The Interruption
PTL 	Praise The Lord
PTM 	Please Tell Me
GTHBA 	Good Times Had By All
GTHO 	Get The Hell Out
GTK 	Good To Know
GTM 	Giggling To Myself
GTO 	Gran Turismo Omologato
GTRM 	Going To Read Mail
GTSY 	Good To See You
GTTS 	Got The T-Shirt
PTO 	Paid Time Off
PTP 	Pay To Play Peer To Peer
TNOP 	Totally Not Our Problem
TNOT 	Take Note Of That
TNSL 	Took Nothing, Signed Logbook (geocaching)
TNSTAAFL 	There's No Such Thing As A Free Lunch
TNT 	Til Next Time
TNTM 	That's News To Me
TO 	Time Out
TOC 	Table Of Contents
TOD 	Time Of Death Time Of Day
TOEFL 	Test Of English as a Foreign Language
TOEIC 	Test Of English for International Communication
TOFT 	Take One For the Team
TOFTT 	Take One For The Team
TOH 	The Other Half
TOL 	Thinking Out Loud Thinking Of Laughing
TOM 	Time Of Month
TOTB 	Think Outside the Box
TOTD 	Tip Of The Day Tweet Of The Day
TOTGA 	The One That Got Away
TOTM 	Time Of The Month
TOTUS 	Teleprompter Of The United States
TOY 	Thinking Of You
TP 	Toilet Paper Town Portal (diablo 2)
TPAM 	The Person Above Me
TPB 	The Pirate Bay
TPE 	Total Power Exchange
PNR 	Passenger Name Record
PNW 	Pacific North West
POA 	Plan Of Action
POD 	Passed Out Drunk
POF 	Plenty of Fish  (dating site)
POI 	Point Of Interest
POIDH 	Pics Or It Didn't Happen
POMO 	Permanent Open Market Operations Post Modern A Group Of Native American People In California
PONR 	Point Of No Return
POTC 	Pirates Of The Carribean
POTD 	Post Of The Day
POTO 	Phantom Of The Opera
POTS 	Parents Over The Shoulder (parents watching, I can't really talk)
POTUS 	President of the United States
POTW 	Patient of the Week (House M.D.)
POTY 	Post Of The Year
POV 	Point Of View
POW 	Prisioner of War
TPK 	Total Party Kill
TPO 	Time, Place, Occasion
TPS 	Totally pointless stuff
TPT 	Trailer Park Trash
TPTB 	The Powers That Be
TR 	Triple Rainbow
TRDMC 	Tears Running Down My Cheeks
TRDMF 	Tears Running Down My Face
TRG 	Tiny Rascal Gang
TYMBI 	Thought You Might Be Interested
TYS 	Thank You Sir
TYSM 	Thank You So Much
TYSVM 	Thank You So Very Much
TYT 	Take Your Time
TYVM 	Thank You Very Much
URI 	Uniform Resource Indicator, URL
URL 	Uniform Resource Locator, internet address
US 	United States
LMG 	Light Machine Gun
LMGTFY 	Let Me Google That For You
LMHO 	Laughing My Head Off
LMIRL 	Let's Meet In Real Life
LMK 	Let Me Know
LML 	Love My Life
LMPO 	Laughing My Pants Off
LMR 	Last Minute Resistance
LMS 	Like My Status Last Man Standing
LMSO 	Laughing My Socks Off
LMT 	Let Me Think
LMTAL 	Let Me Take A Look
LNF 	Life's Not Fair
LNIB 	Like New In Box
LNT 	Leave No Trace
LOA 	Leave of Absence
LOL 	Laughing Out Loud
LOLAK 	Lots Of Love And Kisses
LOLL 	Laugh Out Loud Literally
LOLOL 	Lots Of Laughing Out Loud
LOLV 	Lots Of Love
LOMB 	Lying On My Bed
LOML 	Love Of My Life
LOMO 	Lights Out, Missionary Only
LOOL 	Laughing Outlandishly Out Loud
LOQ 	Laugh Out Quietly
USA 	United States of America
USAF 	United States Air Force
USB 	Universal Serial Bus
USBM 	United States Black Metal
USC 	University of Southern California
USCG 	United States Coast Guard
USD 	United States Dollar
USMC 	United States Marine Corps
USP 	Unique Selling Point
USPS 	United States Postal Service
USS 	United States Ship
USSR 	Union of Soviet Socialist Republics
USW 	Und So Weiter (German for etc)
UT 	Unreal Tournament
UTC 	Coordinated Universal Time Under The Counter
UTD 	Up To Date
UTE 	Utility vehicle, pickup truck
UTF 	Unicode Transformation Format
UTFL 	Use The Force, Luke
UTH 	Up The Hoods
UTI 	Urinary Tract Infection
UTO 	Unable To Obtain
UTP 	Up-Town Projects
UTR 	Under The Radar
UTS 	Under The Skin
UTT 	Under The Table
VGM 	Video Game Music
VH1 	Video Hits One (TV channel)
VHF 	Very High Frequency
VHS 	Video Home System
VIBE 	Atmosphere, ambience
VID 	Video
VIG 	Interest paid on a loan
VIN 	Vehicle Identification Number
VIP 	Very Important Person
VIZ 	Adult comic Namely (videlicet in Latin)
VJ 	Video Jockey (like   with lights and video)
VLAN 	Virtual Local Area Network
VLSI 	Very Large-Scale Integration
VM 	Voice Mail
VMA 	Video Music Awards
VMI 	Virginia Military Institute
VN 	Very Nice
VNC 	Virtual Network Computing
VNDS 	Very Near Dead Stock
VNH 	Very Nice Hand (in online card games, especialy poker)
VNS 	Very Nice Shot
VOA 	Voice Of America
VOD 	Video-On-Demand
VOIP 	Voice Over   – internet telephony
VP 	Vice President
VPL 	Visible Panty Line
VPN 	Virtual Private Network
VR 	Virtual Reality
VS 	Versus, against
VT 	Video Tape
VTL 	Visible Thong Line
VTPR 	View To Permanent Relationship
VTR 	Video Tape Recorder
VV 	Very Very
VVN 	Very Very Nice
VWP 	Very Well Played Very Well Put
WAFWOT 	What A F***ing Waste Of Time
WAJ 	What A Joke
WAK 	Weird, awful
ILYSMB 	I Love You So Much Baby
ILYSMM 	I Love You So Much More
ILYT 	I Love You Too
ILYTB 	I Love You To Bits
ILYVM 	I Love You Very Much
ILYWAMH 	I Love You With All My Heart
LGTM 	Looks Good To Me
LH 	Living Hell
LHH 	Laughing Hella Hard
LHK 	Love, Hugs and Kisses
LHM 	Lord Have Mercy Lord Help Me
LHYW 	Like Hell You Will
LI 	Laughing Inside
LIFO 	Last In First Out
LIG 	Let It Go
LIH 	Laugh In Head
LIHOP 	Let It Happen On Purpose
LIITA 	Love Is In The Air
LILABOC 	Life Is Like A Box Of Chocolates
LIMB 	Laughing In My Brain
LIMH 	Laughing In My Head
LIMM 	Laughing In My Mind
LIRL 	Laughing In Real Life
LIS 	Laughing In Silence
LITS 	Life Is Too Short
LIU 	Look It Up
LJBF 	Let's Just Be Friends
LL 	Laugh Loudly, LOL
LLAP 	Live Long and Prosper
LLC 	Limited Liability Company Laughing Like Crazy
LLH 	Laughing Like Hell
LLL 	Loony Liberal Left
LLTTF 	Living Life To The Fullest
LM 	Loud Mouth
LMA 	Leave Me Alone
LMAD 	Let's Make A Deal
LMAM 	Leave Me A Message
LMAP 	Leave Me Alone Please
LMC 	Let Me Check
LMCO 	Laughing My Cats Off
LORL 	Laugh Out Really Loud
LOS 	Line Of Site
LOTD 	Link Of The Day
LOTI 	Laughing On The Inside
LOTR 	Lord of the Rings
LOTRO 	Lord Of The Rings Online ( )
LOVL 	Laughing Out Very Loud
LOYOL 	Live Out Your Own Life
LOZ 	Legend of Zelda
LP 	Long Play (record)
LPG 	Liquefied Petroleum Gas
LPT 	Life Pro Tip
LQI 	Laughing Quietly Inside
LQL 	Laughing Quite Loudly
LQTM 	Laughing Quietly To Myself
LQTMS 	Laughing Quietly To Myself
LQTY 	Laughing Quietly To Yourself
LRF 	Low Resolution Fox
LRG 	Lifted Research Group (clothing)
LRL 	Laughing Really Loud
LSAT 	Law School Admission Test
LSE 	London School of Economics Low Self-Esteem
LSH 	Laughing So Hard
LSHIC 	Laughing So Hard I'm Crying
LSHIDMT 	Laughing So Hard I Drop My Taco
LSHMBH 	Laughing So Hard My Belly Hurts
LSI 	Limited Social Interaction
LSMFT 	Lucky Strike Means Fine Tobacco
LSMIH 	Laughing So Much It Hurts
LSP 	Love Sick Puppy
LSS 	Last Song Syndrome
LSTM 	Laughing Silently To Myself
LTA 	Love To All
LTB 	Looking To Buy
LTD 	Live/Living The Dream
LTG 	Learn To Google
LTH 	Love Truth Honor
LTIC 	Laugh Til I Cry
LTL 	Living The Life
LTM 	Laughing To Myself
LTMA 	Less Talk, More Action
LTMQ 	Laughing To Myself Quietly
LTMS 	Laughing To Myself
LTNC 	Long Time No Chat
LTNS 	Long Time No See
LTNT 	Long Time No Talk
LTP 	Lost The Plot
LTR 	Long term relationship
LTS 	Laugh To Self
LTY 	Laugh To Yourself
LUI 	Living Under the Infuence
LUL 	Lame Uncomfortable Laugh
LULAB 	Love You Like A Brother
LULAS 	Love You Like A Sister
LV 	Louis Vuitton Las Vegas Level
LW 	Lucky Win
LWICD 	Look What I Can Do
LWKM 	Laugh Wan Kill Me ( )
LWKMD 	Laugh Wan Kill Me Die
LWM 	Laugh With Me
LWP 	Laughing With Passion
LWT 	Look Who's Talking
LWWY 	Live While We're Young
LY 	Love You
LYA 	Love You Always
LYAAF 	Love You As A Friend Love You Always And Forever
LYB 	Love You, Bye
LYF 	Love You Forever
LYK 	Let you know
LYL 	Love You Lots
LYLAB 	Love You Like A Brother
LYLAF 	Love You Like A Friend
LYLAS 	Love You Like A Sister
LYLC 	Love You Like Crazy
LYLMB 	Love You Like My Brother
MAAB 	Male-Assigned At Birth
MAC 	Media Access Control Macintosh
MADD 	Mothers Against Drunk Driving
MAPOTI 	Most Annoying People On The Internet
MAS 	Mildly Amused Smirk
MAW 	Might As Well
MTE 	My Thoughts Exactly
MTF 	Male To Female
MTFBWY 	May The Force Be With You
MTG 	Magic: The Gathering (game)
MTLBWY 	May The Lord Be With You
MTO 	Media Take Out (gossip website)
MTUK 	More Than You Know
MTV 	Music Television
MTW 	Mum's the Word
MTYK 	More Than You Know
MU 	Multi User
MUA 	Make-Up Alley (website)
MUD 	Multi-User Dungeon,
MUNG 	Mash Until No Good
MVA 	Motor Vehicle Accident
MVP 	Most Valuable Player
MW2 	Modern Warfare 2 (game)
MW3 	Modern Warfare 3 (game)
MWC 	Married With Children
MWI 	Mad With It (drunk)
MWPP 	Moony, Wormtail, Padfoot, and Prongs (Harry Potter)
MY 	Miss You
MYB 	Mind Your Business
MYCH 	Maybe You Can Help
MYF 	Miss Your  Face
MYGGWY 	May Your God Go With You
MYL 	Miss You Loads
MYMP 	Make Your Mama Proud
MYOB 	Mind Your Own Business
MYODB 	Mind Your Own Damn Business
MYSM 	Miss You So Much
WAL 	What A Loser
WAM 	Wait A Minute What A Mess
WAMH 	With All My Heart
WAMHAS 	With All My Heart And Soul
WAML 	With All My Love
WAP 	Wireless Access Point
WAPCE 	Women Are Pure Concentrated Evil
WAREZ 	Cracked/pirate software
WAS 	Wait And See
WAY 	Where Are You?
WAYD 	What Are You Doing
WAYDRN 	What Are You Doing Right Now?
WAYLT 	What Are You Listening To?
WAYOA 	What Are You On About?
WAYTA 	What Are You Talking About
WAYWO 	What Are You Working On?
WBB 	Will Be Back
WBM 	Wanna-Be Moderator
WBN 	Would Be Nice
WBR 	With Best Regards
WBS 	Write Back Soon
WBT 	Will Be There
WBU 	What About You?
WBY 	What (A)bout You?
WCB 	Will Call Back
WCG 	World Cyber Games
WCIS 	What Can I Say
WCS 	Worst Case Scenario
WCW 	World Championship Wrestling
WCYD 	What Can You Do?
WD 	Well Done
WDE 	Worst Day Ever
WDFD 	Whoop Dee F***ing Doo
WDH 	What Da Hell
WDIB 	Why Do I Bother?
WDIC 	What Do I Care?
WDIM 	What Does It Mean?
WDITOT 	Why Didn't I Think Of That
WDMB 	Will Do My Best
WDOML 	Worst Day Of My Life
WDTM 	What Does That Mean?
WDUD 	What Do You Do?
WDUM 	What Do You Mean?
WDUT 	What Do You Think?
WDW 	Who Dares Wins
WDY 	Why Don't You?
WDYD 	What Did You Do?
WDYDT 	Why Did You Do That? What Did You Do Today?
WDYE 	What Did You Expect?
WDYG 	Where Did You Go?
WDYM 	What Do You Mean?
WDYMBT 	What Do You Mean By That?
WDYS 	What Did You Say?
WDYT 	What Do You Think?
WDYW 	What Do You Want?
WDYWFM 	What Do You Want From Me?
WDYWT 	What Did You Wear Today?
WDYWTTA 	What Do You Want To Talk About?
WEF 	With Effect From
WEP 	Wireless Encryption Protocol
WFYB 	Whatever Floats Your Boat
WHYB 	Where Have You Been?
WHYD 	What Have You Done?
WIA 	Wounded In Action
WIP 	Work In Progress
WIR 	When It's Ready
WITH 	Where In The Hell
WITW 	What In The World
WIUWY 	What Is Up With You?
WIWT 	What I Wore Today Wish I Was There
WIWWU 	Wish I Was With You
WIWWY 	What Is Wrong With You?
WIYP 	What Is Your Problem?
WJD 	What Jesus Did
WKS 	Well Kept Secret
WKYP 	Will Keep You Posted
WLM 	Windows Live Messenger
WLTM 	Would Like To Meet
WLYB 	Who Loves You Baby
WLYK 	Will Let You Know
WM 	Woman Marine
WMA 	Windows Media Audio
WMD 	Weapons of Mass Destruction
WMF 	Wagging My Finger
WMG 	Warner Music Group
WML 	Wish Me Luck
WMMOWS 	Wash My Mouth Out With Soap!
WMP 	Windows Media Player With Much Pleasure
WMV 	Windows Media Video
WMYB 	What Makes You Beautiful
WN 	Why Not? What's New?
WNDITWB 	We Never Did It This Way Before
WNL 	Within Normal Limits
WNOHGB 	Where No One Has Gone Before
WNTT 	We Need To Talk
WNWY 	What's New With You?
WOAT 	Worst Of All Time
WOB 	Waste Of Bandwith
WOC 	Women of Color
WOE 	What On Earth
WOF 	While On Fire
WOM 	Women Over Mates
WOMBAT 	Waste Of Money, Brains, And Time
WOS 	Waste Of Space Wife Over Shoulder
WOTAM 	Waste of Time and Money
WOTCHER 	What are you up to??
WOTD 	Word Of The Day
WOTLK 	Wrath Of The Lich King
WOTS 	Word On The Street
WP 	Wrong Person Well Played
WPA 	Wi-Fi Protected Access
WPM 	Words Per Minute
WR 	Warm Regards
WRT 	With Regard To
WRU 	Where Are You?
WRUD 	What Are You Doing?
WRUTA 	What Are You Talking About?
WRYD 	What Are You Doing?
WRYTA 	What Are You Talking About?
WSIC 	Why Should I Care?
WSM 	Woman Seeking Man
WSP 	What's up?
WSS 	Why So Serious?
WST 	We're Still Friends
WSUL 	Will See You Later
WSWTA 	What Shall We Talk About?
WT? 	What The …? or Who the …?
WTA 	Winner Takes All
WTB 	Want To Buy
WTBS 	With That Being Said
WTC 	World Trade Center What The Crap
WTD 	What The Deuce?
WTDT 	What To Do Today
WTDTA 	Where They Do That At?
WTFT 	What The French Toast (polite  )
WTG 	Way To Go
WTGP 	Way To Go, Partner
WTGP? 	Want To Go Private?
WTH 	What/Where/Who The Hell
WTHAY 	Who The Hell Are You?
WTHC 	Who The Hell Cares?
WTHIGO 	What The Hell Is Going On?
WTHIT 	What The Hell Is That?
WTHIWWY 	What The Hell Is Wrong With You?
WTHN 	Why The Heck Not?
WTHRU 	Who The Hell Are You?
WTII 	What time Is It?
WTK 	Want To Know
WTL 	Will Talk Later
WTLW 	Welcome To Last Week
WTM 	What's The Matter?
WTMI 	Way Too Much Information
WTML 	Welcome To My Life
WTMW 	Welcome To My World
WTO 	World Trade Organization
WTP 	What's The Point?
WTT 	Want To Trade
WTTC 	Welcome To The club
WTTIR 	When The Time Is Right
WTTJ 	Welcome To The Jungle
WTTM 	Without Thinking Too Much
WTW 	Walk Through Walls (gaming) Walk this Way
WTY 	Why, Thank You
WTYO 	Whatever Turns You On
WUCIWUG 	What You See Is What You Get
WUD 	What You Doing?
WUF 	Where are you from?
WUG 	What You Got? Where You Going?
WUGOWM 	Will You Go Out With Me?
WUL 	Watched User List
WULA 	What're you Looking At?
WULLNP 	Wishing You Long Life And Prosperity
WUM 	Woman Wind-Up Merchant
WUW 	What You Want?
WUWCB 	What do You Want to Chat about?
WUWH 	Wish You Were Here
WUWT 	What's Up With That
WUWTA 	What You Wanna Talk About?
WUWTB 	What You Wanna Talk ‘Bout?
WUWU 	What's Up With You?
WWA 	Wiggers with attitude
WWBD 	What Would Batman Do?
WWCND 	What Would Chuck Norris Do?
WWE 	World Wrestling Entertainment
WWF 	World Wildlife Fund 
WWIC 	Why Would I Care?
WWIT 	What Was I Thinking?
WWJBD 	What Would Jason Bourne Do?
GIWIST 	Gee, I Wish I'd Said That.
GIY 	Google It Yourself
GIYF 	Google Is Your Friend
GJ 	Good Job
GJOAC 	Go Jump Off A Cliff
GJWHF 	Girls Just Wanna Have Fun
GK 	Good Kid
GKY 	Go Kill Yourself
GL 	Good Luck Good Looking
GL HF 	Good Luck, Have Fun
GLA 	Good Luck All
GLAG 	Giggling Like A Girl
GLOTR 	Good Luck On The Rebuild
WWJD 	What Would Jesus Do?
WWJP 	What Would Jesus Post?
WWOTW 	Wicked Witch Of The West
WWTBAM 	Who Wants To Be A Millionaire?
WWU 	Where Were You?
WWW 	World Wide Web
WWWY 	What's Wrong With You?
WWY 	Where Were You?
WWYD 	What Would You Do?
WWYDT 	Why Would You Do That?
WYA 	Where You At?
WYATB 	Wish You All The Best
WYB 	Watch Your Back
WYBD 	What've You Been Doing?
WYBMV 	Will You Be My Valentine?
WYCM 	Will You Call Me?
WYD 	What You Doing?
WYDN 	What You Doing Now?
WYF 	What's Your Favorite …?
WYG 	What You Get
WYGOWM 	Will You Go Out With Me?
WYK 	Would You Kindly
WYL 	Whatever You Like
NAA 	Not At All
NABD 	Not A Big Deal
NAC 	Not A Chance Not A Chain (letter)
NAGL 	Not A Good Look
    AMA  Ask Me Anything
    AMBW   All My Best Wishes
    AML   All My Love
    AOTA   All Of The Above
    ASAP   As Soon As Possible
NAK 	Nursing At Keyboard
NAL 	Need A Life
NALGAS 	Buttocks
NALGO 	Not A Lot Going On
NALOPKT 	Not A Lot Of People Know That.
NAMBLA 	North American Man/Boy Love Association
NAP 	Not A Problem
NARP 	Non-Athletic Regular Person
NARU 	Not A Registered User
NAS 	Network Attached Storage
NASA 	National Aeronautics and Space Administration
NASCAR 	National Association for Stock Car Auto Racing
NASDAQ 	National Association of Securities Dealers Automated Quotation
NASL 	Name, Age, Sex, Location
NATM 	Not At The Moment
NATO 	North Atlantic Treaty Organization
NATTY 	Natural Light beer Smart, good, cool
NB 	Not Bad Nota Bene (Latin for please note)
NBA 	National Basketball Association
NBB 	Never Been Better
NBTW 	Now Back To Work
NC 	No Comment No Choice
NC-17 	No Children under 17 (movie rating)
NCAA 	National Collegiate Athletic Association
NCB 	Never Coming Back
NCIS 	Naval Criminal Investigative Service (TV show)
NCMO 	Non-Committal Make Out
NCNR 	Non-Cancelable, Non-Returnable
NCNS 	No Call, No Show
NCO 	Non-Commissioned Officer
NDA 	Non-Disclosure Agreement
NDE 	Near Death Experience
NDI 	Neither Do I
NDP 	New Democratic Party
NDR 	Non-Delivery Report/Receipt
NDS 	Nintendo DS
NEA 	National Education Association
NED 	Non-Educated Delinquent
NEDM 	Not Even Doom Music
NEET 	Not in Education, Employment or Training
NEGL 	Not Even Gonna Lie
NEGU 	Never Ever Give Up
NEI 	Not Enough Information
NER 	Non-Existent Relationship
NF 	Not Funny
NFA 	No Further Action
NFAA 	Not Funny At All
NFI 	No Freakin Idea
NFL 	National Football League
NFM 	No Further Message
NFN 	Normal For Norfolk
NFS 	Not For Sale
